FTSE Emerging Markets UCITS ETF - (USD) Accumulating (VFEA)
As of 31 July 2020
Holding name,% of funds,Market value,Shares
Mobile TeleSystems PJSC,"=""0.06983%""","$1,454,387","331,085.00"
China Jinmao Holdings Group Ltd.,"=""0.06981%""","$1,453,802","2,138,000.00"
Masraf Al Rayan QSC,"=""0.06940%""","$1,445,317","1,336,313.00"
Surgutneftegas OAO Preference Shares,"=""0.06939%""","$1,445,058","2,865,884.00"
Gulf Energy Development PCL,"=""0.06932%""","$1,443,622","1,333,800.00"
Polyus PJSC GDR,"=""0.06927%""","$1,442,700","12,600.00"
Saudi Arabian Mining Co.,"=""0.06822%""","$1,420,842","147,406.00"
Zijin Mining Group Co. Ltd. Class H,"=""0.06765%""","$1,408,828","2,270,000.00"
Alinma Bank,"=""0.06762%""","$1,408,273","360,272.00"
Central Pattana PCL,"=""0.06713%""","$1,398,178","903,600.00"
SinoPac Financial Holdings Co. Ltd.,"=""0.06711%""","$1,397,686","3,844,556.00"
Formosa Petrochemical Corp.,"=""0.06693%""","$1,393,828","501,000.00"
IHH Healthcare Bhd.,"=""0.06673%""","$1,389,863","1,091,300.00"
Zhongsheng Group Holdings Ltd.,"=""0.06640%""","$1,382,984","224,000.00"
Mobile Telecommunications Co. KSC,"=""0.06614%""","$1,377,370","764,691.00"
DiGi.Com Bhd.,"=""0.06522%""","$1,358,296","1,355,100.00"
Eicher Motors Ltd.,"=""0.06475%""","$1,348,464","4,888.00"
Almarai Co. JSC,"=""0.06442%""","$1,341,629","93,874.00"
JG Summit Holdings Inc.,"=""0.06425%""","$1,338,131","1,053,020.00"
Abu Dhabi Commercial Bank PJSC,"=""0.06378%""","$1,328,350","971,958.00"
Sociedad Quimica y Minera de Chile SA Preference Shares Class B,"=""0.06366%""","$1,325,857","43,537.00"
Dabur India Ltd.,"=""0.06366%""","$1,325,815","193,141.00"
Gerdau SA Preference Shares,"=""0.06348%""","$1,322,041","394,400.00"
BB Seguridade Participacoes SA,"=""0.06333%""","$1,318,923","246,714.00"
WuXi AppTec Co. Ltd. Class A,"=""0.06332%""","$1,318,702","81,424.00"
Tsingtao Brewery Co. Ltd. Class H,"=""0.06327%""","$1,317,643","148,000.00"
Lite-On Technology Corp.,"=""0.06280%""","$1,307,927","772,481.00"
Via Varejo S/A,"=""0.06266%""","$1,304,947","348,017.00"
Hero MotoCorp Ltd.,"=""0.06257%""","$1,303,145","36,425.00"
Bajaj Auto Ltd.,"=""0.06252%""","$1,301,994","32,415.00"
New China Life Insurance Co. Ltd. Class H,"=""0.06249%""","$1,301,385","332,871.00"
ICICI Lombard General Insurance Co. Ltd.,"=""0.06229%""","$1,297,371","74,455.00"
Surgutneftegas PJSC,"=""0.06209%""","$1,293,140","2,583,235.00"
Shin Kong Financial Holding Co. Ltd.,"=""0.06160%""","$1,282,866","4,416,090.00"
BDO Unibank Inc.,"=""0.06159%""","$1,282,767","716,367.00"
Hangzhou Hikvision Digital Technology Co. Ltd. Class A,"=""0.06150%""","$1,280,846","241,600.00"
Gree Electric Appliances Inc. of Zhuhai Class A,"=""0.06086%""","$1,267,521","155,400.00"
Far EasTone Telecommunications Co. Ltd.,"=""0.06061%""","$1,262,237","586,000.00"
