FTSE Developed World UCITS ETF - (USD) Distributing (VDEV)
As of 31 August 2020
Holding name,% of funds,Market value,Shares
Danone SA,"=""0.08272%""","$603,813","9,163.00"
Axa SA,"=""0.08244%""","$601,797","29,468.00"
National Grid plc,"=""0.08200%""","$598,541","53,015.00"
DocuSign Inc. Class A,"=""0.08199%""","$598,532","2,684.00"
American Electric Power Co. Inc.,"=""0.08190%""","$597,847","7,584.00"
DexCom Inc.,"=""0.08182%""","$597,276","1,404.00"
Nidec Corp.,"=""0.08173%""","$596,616","7,100.00"
Vonovia SE,"=""0.08159%""","$595,583","8,300.00"
Givaudan SA,"=""0.08130%""","$593,470",141.00
General Mills Inc.,"=""0.08128%""","$593,328","9,278.00"
EssilorLuxottica SA,"=""0.08125%""","$593,108","4,424.00"
Australia & New Zealand Banking Group Ltd.,"=""0.08119%""","$592,658","43,839.00"
Tokyo Electron Ltd.,"=""0.08067%""","$588,854","2,300.00"
L3Harris Technologies Inc.,"=""0.08007%""","$584,513","3,234.00"
General Dynamics Corp.,"=""0.07996%""","$583,660","3,908.00"
Sumitomo Mitsui Financial Group Inc.,"=""0.07895%""","$576,291","19,600.00"
Veeva Systems Inc. Class A,"=""0.07742%""","$565,105","2,002.00"
Safran SA,"=""0.07706%""","$562,519","4,848.00"
General Motors Co.,"=""0.07674%""","$560,185","18,906.00"
eBay Inc.,"=""0.07674%""","$560,180","10,226.00"
Woolworths Group Ltd.,"=""0.07666%""","$559,612","18,979.00"
HCA Healthcare Inc.,"=""0.07606%""","$555,231","4,091.00"
London Stock Exchange Group plc,"=""0.07606%""","$555,204","4,712.00"
Sempra Energy,"=""0.07604%""","$555,065","4,489.00"
Pernod Ricard SA,"=""0.07603%""","$555,015","3,234.00"
Spotify Technology SA,"=""0.07565%""","$552,187","1,957.00"
Exelon Corp.,"=""0.07550%""","$551,103","14,931.00"
Cognizant Technology Solutions Corp. Class A,"=""0.07547%""","$550,926","8,240.00"
Banco Santander SA,"=""0.07526%""","$549,359","246,591.00"
Xcel Energy Inc.,"=""0.07523%""","$549,130","7,904.00"
Kao Corp.,"=""0.07505%""","$547,850","7,200.00"
Chipotle Mexican Grill Inc. Class A,"=""0.07503%""","$547,697",418.00
Canadian Imperial Bank of Commerce,"=""0.07451%""","$543,890","6,843.00"
Hoya Corp.,"=""0.07400%""","$540,172","5,500.00"
Centene Corp.,"=""0.07397%""","$539,923","8,805.00"
