FTSE All-World UCITS ETF - (USD) Distributing (VWRD)
As of 31 July 2020
Holding name,% of funds,Market value,Shares
MSCI Inc. Class A,"=""0.06193%""","$3,713,178","9,876.00"
Cie Financiere Richemont SA,"=""0.06160%""","$3,693,089","59,462.00"
Sberbank of Russia PJSC,"=""0.06132%""","$3,676,680","1,233,915.00"
T. Rowe Price Group Inc.,"=""0.06129%""","$3,674,841","26,610.00"
NTT DOCOMO Inc.,"=""0.06119%""","$3,668,405","133,400.00"
Telefonaktiebolaget LM Ericsson Class B,"=""0.06110%""","$3,663,347","317,779.00"
Kone Oyj Class B,"=""0.06105%""","$3,660,541","46,038.00"
Workday Inc. Class A,"=""0.06088%""","$3,650,061","20,175.00"
Amphenol Corp. Class A,"=""0.06086%""","$3,648,720","34,500.00"
KLA Corp.,"=""0.06067%""","$3,637,306","18,202.00"
Agilent Technologies Inc.,"=""0.06058%""","$3,632,026","37,704.00"
Anglo American plc,"=""0.06011%""","$3,604,021","146,825.00"
Synopsys Inc.,"=""0.05991%""","$3,591,737","18,029.00"
Dow Inc.,"=""0.05985%""","$3,588,398","87,394.00"
WEC Energy Group Inc.,"=""0.05982%""","$3,586,253","37,647.00"
Franco-Nevada Corp.,"=""0.05963%""","$3,575,206","22,368.00"
Sika AG,"=""0.05946%""","$3,565,008","16,175.00"
Mizuho Financial Group Inc.,"=""0.05940%""","$3,561,407","2,951,000.00"
Public Storage,"=""0.05936%""","$3,558,863","17,805.00"
Verisk Analytics Inc. Class A,"=""0.05934%""","$3,557,938","18,854.00"
Cadence Design Systems Inc.,"=""0.05922%""","$3,550,734","32,501.00"
IQVIA Holdings Inc.,"=""0.05920%""","$3,549,520","22,410.00"
Monster Beverage Corp.,"=""0.05887%""","$3,529,873","44,978.00"
Allstate Corp.,"=""0.05849%""","$3,506,683","37,151.00"
Walgreens Boots Alliance Inc.,"=""0.05847%""","$3,505,742","86,115.00"
Clorox Co.,"=""0.05826%""","$3,492,780","14,768.00"
ResMed Inc.,"=""0.05826%""","$3,493,095","17,249.00"
Eversource Energy,"=""0.05820%""","$3,489,672","38,744.00"
Travelers Cos. Inc.,"=""0.05820%""","$3,489,352","30,496.00"
ITOCHU Corp.,"=""0.05783%""","$3,467,512","159,400.00"
Chugai Pharmaceutical Co. Ltd.,"=""0.05783%""","$3,467,005","77,400.00"
PACCAR Inc.,"=""0.05774%""","$3,461,650","40,687.00"
Alimentation Couche-Tard Inc. Class B,"=""0.05763%""","$3,455,404","99,431.00"
TE Connectivity Ltd.,"=""0.05745%""","$3,444,426","38,671.00"
SMC Corp./Japan,"=""0.05734%""","$3,437,643","6,600.00"
Bank of New York Mellon Corp.,"=""0.05723%""","$3,431,526","95,719.00"
MetLife Inc.,"=""0.05721%""","$3,430,081","90,623.00"
Constellation Brands Inc. Class A,"=""0.05700%""","$3,417,520","19,178.00"
Public Service Enterprise Group Inc.,"=""0.05700%""","$3,417,263","61,088.00"
Cummins Inc.,"=""0.05697%""","$3,415,870","17,675.00"
Capital One Financial Corp.,"=""0.05679%""","$3,404,623","53,364.00"
Astellas Pharma Inc.,"=""0.05667%""","$3,397,380","217,700.00"
TAL Education Group ADR,"=""0.05662%""","$3,394,454","43,424.00"
CRH plc,"=""0.05656%""","$3,391,242","93,413.00"
Johnson Controls International plc,"=""0.05600%""","$3,357,726","87,259.00"
AutoZone Inc.,"=""0.05590%""","$3,351,798","2,776.00"
Intesa Sanpaolo SPA (Registered),"=""0.05576%""","$3,343,045","1,655,986.00"
Nippon Telegraph & Telephone Corp.,"=""0.05553%""","$3,329,358","144,061.00"
American International Group Inc.,"=""0.05538%""","$3,320,544","103,315.00"
Kinder Morgan Inc.,"=""0.05537%""","$3,319,887","235,453.00"
Hitachi Ltd.,"=""0.05527%""","$3,313,497","112,000.00"
Tokio Marine Holdings Inc.,"=""0.05514%""","$3,306,127","78,800.00"
Tesco plc,"=""0.05502%""","$3,298,751","1,157,685.00"
Lukoil Pjsc,"=""0.05484%""","$3,288,188","48,008.00"
ING Groep NV,"=""0.05483%""","$3,287,342","471,505.00"
