FTSE All-World High Dividend Yield UCITS ETF (USD)   Distributing (VHYL)

Holding details 
As at date 31 July 2020


Holding name,% of funds,Market value,Shares,
"=""Barclays plc""","=""0.11961%""","=""$1,294,754""","=""980,986""",
"=""Best Buy Co. Inc.""","=""0.11934%""","=""$1,291,881""","=""12,972""",
"=""State Street Corp.""","=""0.11756%""","=""$1,272,547""","=""19,949""",
"=""Orange SA""","=""0.11709%""","=""$1,267,491""","=""108,139""",
"=""Kraft Heinz Co.""","=""0.11590%""","=""$1,254,595""","=""36,492""",
"=""DTE Energy Co.""","=""0.11580%""","=""$1,253,545""","=""10,841""",
"=""Eni SPA""","=""0.11426%""","=""$1,236,802""","=""138,698""",
"=""Rwe AG""","=""0.11343%""","=""$1,227,821""","=""32,468""",
"=""Qatar National Bank QPSC""","=""0.11310%""","=""$1,224,336""","=""247,656""",
"=""Oversea-Chinese Banking Corp. Ltd.""","=""0.11160%""","=""$1,208,082""","=""193,533""",
"=""Saudi Basic Industries Corp.""","=""0.11156%""","=""$1,207,678""","=""50,948""",
"=""Banco Bradesco SA Preference Shares""","=""0.11121%""","=""$1,203,819""","=""279,271""",
"=""Entergy Corp.""","=""0.11001%""","=""$1,190,808""","=""11,327""",
"=""Banco Bilbao Vizcaya Argentaria SA""","=""0.10893%""","=""$1,179,148""","=""378,144""",
"=""Bayerische Motoren Werke AG""","=""0.10882%""","=""$1,177,938""","=""18,211""",
"=""BAE Systems plc""","=""0.10812%""","=""$1,170,399""","=""181,912""",
"=""Japan Tobacco Inc.""","=""0.10750%""","=""$1,163,670""","=""67,900""",
"=""Canadian Natural Resources Ltd.""","=""0.10706%""","=""$1,158,867""","=""65,692""",
"=""PPL Corp.""","=""0.10702%""","=""$1,158,502""","=""43,520""",
"=""Sandvik AB""","=""0.10523%""","=""$1,139,062""","=""61,254""",
"=""Ferguson plc""","=""0.10490%""","=""$1,135,529""","=""12,738""",
"=""Fortescue Metals Group Ltd.""","=""0.10401%""","=""$1,125,900""","=""90,176""",
"=""Edison International""","=""0.10393%""","=""$1,124,979""","=""20,208""",
"=""Telefonica SA""","=""0.10389%""","=""$1,124,590""","=""268,046""",
"=""Petroleo Brasileiro SA Preference Shares""","=""0.10290%""","=""$1,113,881""","=""261,200""",
"=""UniCredit SPA""","=""0.10233%""","=""$1,107,744""","=""121,329""",
"=""Neste Oyj""","=""0.10037%""","=""$1,086,541""","=""23,633""",
"=""Ameriprise Financial Inc.""","=""0.09895%""","=""$1,071,108""","=""6,972""",
"=""Al Rajhi Bank""","=""0.09888%""","=""$1,070,327""","=""68,152""",
"=""Fortis Inc./Canada""","=""0.09879%""","=""$1,069,375""","=""26,259""",
"=""China Merchants Bank Co. Ltd. Class H""","=""0.09849%""","=""$1,066,122""","=""228,566""",
"=""Assicurazioni Generali SPA""","=""0.09818%""","=""$1,062,737""","=""70,989""",
"=""Nutrien Ltd.""","=""0.09783%""","=""$1,059,027""","=""32,521""",
"=""Cie Generale des Etablissements Michelin SCA""","=""0.09625%""","=""$1,041,904""","=""9,974""",
"=""Panasonic Corp.""","=""0.09601%""","=""$1,039,346""","=""122,100""",
"=""Sampo Oyj Class A""","=""0.09592%""","=""$1,038,332""","=""28,630""",
"=""Maxim Integrated Products Inc.""","=""0.09563%""","=""$1,035,172""","=""15,203""",
"=""CMS Energy Corp.""","=""0.09534%""","=""$1,032,079""","=""16,081""",
"=""Conagra Brands Inc.""","=""0.09530%""","=""$1,031,598""","=""27,546""",
"=""Komatsu Ltd.""","=""0.09513%""","=""$1,029,776""","=""52,700""",
"=""United Overseas Bank Ltd.""","=""0.09470%""","=""$1,025,140""","=""72,500""",
