Holding name,% of funds,Market value,Shares
DBS Group Holdings Ltd.,"=""0.05731%""","$351,774","24,400.00"
PPG Industries Inc.,"=""0.05724%""","$351,370","3,264.00"
Fujitsu Ltd.,"=""0.05700%""","$349,895","2,620.00"
Schlumberger Ltd.,"=""0.05682%""","$348,760","19,226.00"
Vestas Wind Systems A/S,"=""0.05673%""","$348,247","2,702.00"
Celltrion Inc.,"=""0.05668%""","$347,916","1,398.00"
E.On Se,"=""0.05668%""","$347,956","29,615.00"
Consolidated Edison Inc.,"=""0.05656%""","$347,195","4,519.00"
Okta Inc.,"=""0.05655%""","$347,160","1,571.00"
Sysco Corp.,"=""0.05649%""","$346,749","6,561.00"
HP Inc.,"=""0.05647%""","$346,625","19,717.00"
Mitsubishi Electric Corp.,"=""0.05617%""","$344,796","26,600.00"
Aflac Inc.,"=""0.05617%""","$344,780","9,693.00"
Prudential Financial Inc.,"=""0.05605%""","$344,036","5,429.00"
Palo Alto Networks Inc.,"=""0.05599%""","$343,701","1,343.00"
Nordea Bank Abp,"=""0.05581%""","$342,584","44,123.00"
Rockwell Automation Inc.,"=""0.05544%""","$340,298","1,560.00"
Compass Group plc,"=""0.05543%""","$340,242","24,677.00"
Glencore plc,"=""0.05529%""","$339,392","148,067.00"
Terumo Corp.,"=""0.05512%""","$338,362","9,000.00"
Hermes International,"=""0.05486%""","$336,744",415.00
Softbank Corp.,"=""0.05473%""","$335,959","25,112.00"
Marathon Petroleum Corp.,"=""0.05451%""","$334,632","8,760.00"
Skyworks Solutions Inc.,"=""0.05450%""","$334,543","2,298.00"
Lloyds Banking Group plc,"=""0.05446%""","$334,277","968,946.00"
Wheaton Precious Metals Corp.,"=""0.05432%""","$333,430","6,146.00"
Mitsubishi Corp.,"=""0.05388%""","$330,765","16,500.00"
Archer-Daniels-Midland Co.,"=""0.05361%""","$329,106","7,684.00"
Microchip Technology Inc.,"=""0.05348%""","$328,283","3,227.00"
Mitsui & Co. Ltd.,"=""0.05335%""","$327,513","22,000.00"
Marvell Technology Group Ltd.,"=""0.05335%""","$327,464","8,979.00"
LafargeHolcim Ltd.,"=""0.05327%""","$326,984","6,916.00"
McKesson Corp.,"=""0.05325%""","$326,898","2,177.00"
Dassault Systemes SE,"=""0.05323%""","$326,726","1,793.00"
Suncor Energy Inc.,"=""0.05317%""","$326,408","20,751.00"
